address,best,bin,building_id,building_name,distance_m,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,second,x_m,y_m
1477 3rd Avenue,0.518,1048692,25745,,14.4,Upper East Side,212.6,4,tag,0,40.7770243,block,-73.9548865,0.0,yes,266910467,,way,10028,10.2,0.459,1105.39,-329.03
,0.608,1073219,25816,,17.5,Upper East Side,56.8,6,tag,0,40.7768521,block,-73.9545103,0.0,yes,266910542,,way,,8.9,0.567,1137.11,-348.08
226 East 86th Street,0.547,1076326,25837,,21.2,Upper East Side,232.3,5,tag,0,40.7780937,block,-73.9530142,0.0,yes,266910955,,way,10028,34.9,0.518,1263.21,-210.79
316 East 86th Street,0.697,1083414,25845,,0.7,Upper East Side,396.5,14,tag,0,40.7772983,block,-73.9510285,0.0,yes,266910968,,way,10028,16.7,0.638,1430.59,-298.74
343 East 85th Street,0.841,1078632,25861,,8.0,Upper East Side,166.7,9,tag,0,40.776686,block,-73.950503,0.0,yes,266910986,,way,10028,24.0,0.823,1474.89,-366.44
352 East 87th Street,0.85,1050036,25887,,8.0,Upper East Side,130.0,5,tag,0,40.7776328,block,-73.9494956,0.0,yes,266911068,,way,10028,15.2,0.815,1559.82,-261.75
1612 3rd Avenue,0.604,1048262,26204,,29.4,Upper East Side,198.9,11,tag,0,40.781791,district,-73.9521649,0.0,yes,266915961,,way,10128,103.7,0.595,1334.81,198.04
1381 Lexington Avenue,0.445,1048310,26223,,21.7,Upper East Side,1005.4,5,tag,0,40.7827494,block,-73.9528259,0.0,yes,266916488,,way,10128,41.5,0.411,1279.08,304.01
1626 3rd Avenue,0.763,1078535,26229,,16.1,Upper East Side,138.4,4,tag,0,40.7823351,block,-73.9517472,0.0,yes,266916494,,way,10128,16.9,0.715,1370.01,258.21
1768 2nd Avenue,0.907,1090539,26240,,1.3,Upper East Side,188.3,8,tag,0,40.7817309,block,-73.948543,0.0,yes,266916540,,way,10128,16.9,0.886,1640.11,191.4
,0.961,1090785,26262,,0.9,Upper East Side,149.3,10,zone_model,0,40.7816125,block,-73.94731,0.0,yes,266916562,,way,,19.5,0.915,1744.05,178.3
158 East 93rd Street,0.989,1048380,26313,,0.9,Upper East Side,70.1,4,tag,0,40.7836172,block,-73.9520283,0.0,yes,266917384,,way,10128,14.7,0.938,1346.32,399.97
1658 3rd Avenue,0.684,1048354,26321,,15.6,Upper East Side,120.8,4,tag,0,40.7831996,block,-73.9511004,0.0,yes,266917414,,way,10128,17.1,0.666,1424.54,353.79
172 East 93rd Street,0.989,1048378,26326,,0.9,Upper East Side,79.8,4,tag,0,40.7834515,block,-73.9516347,0.0,yes,266917430,,way,10128,13.8,0.93,1379.49,381.65
,0.612,1078545,26335,,6.6,Upper East Side,125.9,4,tag,0,40.7832602,block,-73.9510557,0.0,yes,266917462,,way,,16.9,0.608,1428.31,360.5
,0.708,1090758,26341,,0.4,Upper East Side,225.5,4,tag,0,40.7830781,block,-73.9487884,0.0,yes,266917832,,way,,9.9,0.65,1619.43,340.36
,0.599,1083287,26342,,22.5,Upper East Side,454.7,4,tag,0,40.7827615,block,-73.9491304,0.0,yes,266917834,,way,,9.0,0.592,1590.6,305.35
,0.87,1048394,26361,,8.2,Upper East Side,188.6,4,tag,0,40.7834825,block,-73.9509481,0.0,yes,266918468,,way,,17.3,0.857,1437.37,385.08
,0.446,1078675,26432,,15.8,Upper East Side,28.4,4,tag,0,40.783036,block,-73.9453964,0.0,yes,266919118,,way,,3.0,0.413,1905.35,335.7
1455 Lexington Avenue,0.989,1048465,26445,,0.9,Upper East Side,82.6,4,tag,0,40.7847047,block,-73.951513,0.0,yes,266919615,,way,10128,14.1,0.936,1389.76,520.22
1457 Lexington Avenue,0.989,1048420,26446,,0.9,Upper East Side,81.5,4,tag,0,40.7847471,block,-73.9514819,0.0,yes,266919616,,way,10128,14.2,0.937,1392.38,524.91
160 East 95th Street,0.989,1048441,26451,,0.9,Upper East Side,86.0,4,tag,0,40.7848357,block,-73.9510258,0.0,yes,266919625,,way,10128,13.9,0.934,1430.82,534.7
