address,bbl,bbl_source,bin,building_id,building_name,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,match_area_ratio,match_confidence,match_distance_m,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,x_m,y_m
,,,,19949,,Murray Hill / Kips Bay,80.4,6,levels,0,40.7505424,block,-73.9673913,,none,,0.0,roof,1184369276,1,way,,4.4,51.31,-3257.24
,,,,19950,,Murray Hill / Kips Bay,387.6,5,levels,0,40.7499466,block,-73.9683281,,none,,0.0,roof,1184369283,1,way,,4.4,-27.65,-3323.13
,,,,19954,,West Village,24.7,6,zone_model,0,40.7302362,block,-73.9845824,,none,,0.0,yes,1193384631,,way,,8.45,-1397.8,-5502.59
,,,,19961,,Midtown West / Times Sq,23.1,4,levels,0,40.7545666,block,-74.0014242,,none,,0.0,service,1201126568,1,way,,4.4,-2817.46,-2812.27
,,,,19967,,Midtown West / Times Sq,45.6,4,levels,0,40.7570506,block,-73.9963131,,none,,0.0,service,1201839330,1,way,,4.4,-2386.63,-2537.61
,,,,19973,,Midtown West / Times Sq,40.2,4,levels,0,40.7532267,block,-74.0018949,,none,,0.0,roof,1203138830,1,way,,4.4,-2857.14,-2960.43
,,,,19992,,Gramercy / Flatiron,264.3,4,zone_model,0,40.7384271,block,-73.9745129,,none,,0.0,roof,1242277203,,way,,37.92,-549.0,-4596.89
,,,,19995,,Midtown East,226.7,4,zone_model,0,40.7568141,district,-73.9524746,,none,,0.0,yes,1249439096,,way,,83.25,1308.7,-2563.75
None West 25th Street,,,,19998,St. Columba School,Hudson Yards,626.5,4,tag,0,40.747349,block,-73.9987839,,none,,0.0,yes,1275399986,5,way,10001,21.4,-2594.9,-3610.35
,,,,20013,,SoHo / Hudson Square,16.5,4,zone_model,0,40.7237984,block,-74.0077274,,none,,0.0,shed,1342240422,,way,,9.74,-3348.79,-6214.44
,,,,20014,,Chelsea,27.1,5,zone_model,0,40.7378315,block,-73.9856319,,none,,0.0,yes,1347899624,,way,,7.6,-1486.27,-4662.74
